timestamp,open,high,low,close
2021-01-23 06:03:00,1.4100000000003092,1.4100000000003092,-0.6699999999998454,-0.6699999999998454
2021-01-23 06:04:00,,,,
2021-01-23 06:05:00,,,,
2021-01-23 06:06:00,,,,
2021-01-23 06:07:00,,,,
2021-01-23 06:08:00,,,,
2021-01-23 06:09:00,,,,
2021-01-23 06:10:00,,,,
2021-01-23 06:11:00,,,,
2021-01-23 06:12:00,,,,
2021-01-23 06:13:00,,,,
2021-01-23 06:14:00,,,,
2021-01-23 06:15:00,,,,
2021-01-23 06:16:00,,,,
2021-01-23 06:17:00,,,,
2021-01-23 06:18:00,,,,
2021-01-23 06:19:00,,,,
2021-01-23 06:20:00,,,,
2021-01-23 06:21:00,,,,
2021-01-23 06:22:00,-1.0100000000002183,-1.0100000000002183,-1.0100000000002183,-1.0100000000002183
2021-01-23 06:23:00,,,,
2021-01-23 06:24:00,,,,
2021-01-23 06:25:00,,,,
2021-01-23 06:26:00,,,,
2021-01-23 06:27:00,,,,
2021-01-23 06:28:00,,,,
2021-01-23 06:29:00,,,,
2021-01-23 06:30:00,,,,
2021-01-23 06:31:00,,,,
2021-01-23 06:32:00,,,,
2021-01-23 06:33:00,,,,
2021-01-23 06:34:00,,,,
2021-01-23 06:35:00,,,,
2021-01-23 06:36:00,,,,
2021-01-23 06:37:00,,,,
2021-01-23 06:38:00,,,,
2021-01-23 06:39:00,,,,
2021-01-23 06:40:00,,,,
2021-01-23 06:41:00,,,,
2021-01-23 06:42:00,,,,
2021-01-23 06:43:00,,,,
2021-01-23 06:44:00,,,,
2021-01-23 06:45:00,,,,
2021-01-23 06:46:00,,,,
2021-01-23 06:47:00,,,,
2021-01-23 06:48:00,,,,
2021-01-23 06:49:00,,,,
2021-01-23 06:50:00,,,,
2021-01-23 06:51:00,,,,
2021-01-23 06:52:00,,,,
2021-01-23 06:53:00,,,,
2021-01-23 06:54:00,,,,
2021-01-23 06:55:00,,,,
2021-01-23 06:56:00,,,,
2021-01-23 06:57:00,,,,
2021-01-23 06:58:00,,,,
2021-01-23 06:59:00,,,,
2021-01-23 07:00:00,,,,
2021-01-23 07:01:00,,,,
2021-01-23 07:02:00,,,,
2021-01-23 07:03:00,,,,
2021-01-23 07:04:00,,,,
2021-01-23 07:05:00,,,,
2021-01-23 07:06:00,,,,
2021-01-23 07:07:00,,,,
2021-01-23 07:08:00,,,,
2021-01-23 07:09:00,,,,
2021-01-23 07:10:00,,,,
2021-01-23 07:11:00,,,,
2021-01-23 07:12:00,,,,
2021-01-23 07:13:00,,,,
2021-01-23 07:14:00,,,,
2021-01-23 07:15:00,,,,
2021-01-23 07:16:00,,,,
2021-01-23 07:17:00,,,,
2021-01-23 07:18:00,,,,
2021-01-23 07:19:00,,,,
2021-01-23 07:20:00,,,,
2021-01-23 07:21:00,,,,
2021-01-23 07:22:00,,,,
2021-01-23 07:23:00,,,,
2021-01-23 07:24:00,,,,
2021-01-23 07:25:00,,,,
2021-01-23 07:26:00,,,,
2021-01-23 07:27:00,,,,
2021-01-23 07:28:00,,,,
2021-01-23 07:29:00,,,,
2021-01-23 07:30:00,,,,
2021-01-23 07:31:00,,,,
2021-01-23 07:32:00,,,,
2021-01-23 07:33:00,,,,
2021-01-23 07:34:00,,,,
2021-01-23 07:35:00,,,,
2021-01-23 07:36:00,,,,
2021-01-23 07:37:00,,,,
2021-01-23 07:38:00,,,,
2021-01-23 07:39:00,,,,
2021-01-23 07:40:00,,,,
2021-01-23 07:41:00,,,,
2021-01-23 07:42:00,,,,
2021-01-23 07:43:00,,,,
2021-01-23 07:44:00,,,,
2021-01-23 07:45:00,,,,
2021-01-23 07:46:00,,,,
2021-01-23 07:47:00,,,,
2021-01-23 07:48:00,,,,
2021-01-23 07:49:00,,,,
2021-01-23 07:50:00,,,,
2021-01-23 07:51:00,,,,
2021-01-23 07:52:00,,,,
2021-01-23 07:53:00,,,,
2021-01-23 07:54:00,,,,
2021-01-23 07:55:00,,,,
2021-01-23 07:56:00,,,,
